T27,Gross domestic expenditure on research and development (R&D),,,,,
440,Lithuania,2017,Gross domestic expenditure on R & D: Higher education (%),3.6508,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.1436,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2017,Gross domestic expenditure on R & D: Funds from abroad (%),24.4256,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
440,Lithuania,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.9450,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5717,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Business enterprises (%),79.7246,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Government (%),16.6102,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Higher education (%),0.0424,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.0636,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Funds from abroad (%),3.5593,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5026,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Business enterprises (%),43.4585,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Government (%),35.1426,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Higher education (%),0.6270,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.1363,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Funds from abroad (%),20.6387,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.2841,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Business enterprises (%),47.0784,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Government (%),47.6672,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Higher education (%),1.6458,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.2114,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Funds from abroad (%),3.3822,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3033,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2017,Gross domestic expenditure on R & D: Business enterprises (%),49.5768,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2017,Gross domestic expenditure on R & D: Government (%),43.0692,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2017,Gross domestic expenditure on R & D: Higher education (%),1.3737,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2017,Gross domestic expenditure on R & D: Private non-profit (%),0.2636,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2017,Gross domestic expenditure on R & D: Funds from abroad (%),5.7028,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
442,Luxembourg,2018,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.2356,Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1755,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2005,Gross domestic expenditure on R & D: Government (%),89.7554,Including higher education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2005,Gross domestic expenditure on R & D: Funds from abroad (%),10.2446,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2009,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1468,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2009,Gross domestic expenditure on R & D: Government (%),89.4164,Including higher education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2009,Gross domestic expenditure on R & D: Funds from abroad (%),10.5837,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1132,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2010,Gross domestic expenditure on R & D: Government (%),100.0000,Break in the time series.;Including higher education.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2011,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.1059,Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2011,Gross domestic expenditure on R & D: Government (%),100.0000,Including Government.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2014,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0155,Break in the time series.;Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
450,Madagascar,2017,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.0147,Partial data.;Government only.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
458,Malaysia,2004,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.5999,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
